Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
475150,KR7475150009,SK이터닉스,KOSPI,,42300,2,-900,-2.08,43200,44450,41400,254906,10903005250,1441034269200,34067004,STK
006280,KR7006280002,녹십자,KOSPI,,123200,2,-1500,-1.2,122600,123900,121800,2978,366676750,1439781481600,11686538,STK
005070,KR7005070008,코스모신소재,KOSPI,,43100,2,-300,-0.69,43000,43650,42500,10788,463514225,1431548010100,33214571,STK
006040,KR7006040000,동원산업,KOSPI,,32100,2,-600,-1.83,31800,32650,31800,6947,223235950,1416920289900,44140819,STK
001120,KR7001120005,LX인터내셔널,KOSPI,,36250,2,-900,-2.42,36050,37100,36050,3671,133501350,1405050000000,38760000,STK
003540,KR7003540002,대신증권,KOSPI,,28450,2,-750,-2.57,28500,29000,28350,8106,230769075,1400302257350,49219763,STK
192080,KR7192080000,더블유게임즈,KOSPI,,65300,1,500,0.77,65000,65700,64500,3772,245792300,1382627460400,21173468,STK
069620,KR7069620003,대웅제약,KOSPI,,118400,2,-800,-0.67,118500,119800,117600,1470,173993550,1371850480000,11586575,STK
034230,KR7034230003,파라다이스,KOSPI,,14680,1,270,1.87,14340,14770,14210,40181,584382290,1359799327760,92629382,STK
077970,KR7077970002,STX엔진,KOSPI,,33550,2,-200,-0.59,34950,35000,33000,91383,3085146500,1346967513650,40148063,STK
003570,KR7003570009,SNT다이내믹스,KOSPI,,40500,1,50,0.12,41150,41150,40200,2318,94122900,1346734228500,33252697,STK
294870,KR7294870001,IPARK현대산업개발,KOSPI,,20350,2,-100,-0.49,20400,20400,20000,13084,262828450,1341214165500,65907330,STK
073240,KR7073240004,금호타이어,KOSPI,,4625,2,-80,-1.7,4655,4685,4615,16385,76149495,1328578827375,287260287,STK
032350,KR7032350001,롯데관광개발,KOSPI,,16600,2,-370,-2.18,16860,16920,16570,16027,267239330,1321384468400,79601474,STK
195870,KR7195870001,해성디에스,KOSPI,,77300,1,4000,5.46,71100,77700,71000,42053,3182597050,1314100000000,17000000,STK
000815,KR7000811000,삼성화재우,KOSPI,,435000,2,-4000,-0.91,439000,441000,431000,1442,628976750,1308053700000,3007020,STK
066575,KR7066571001,LG전자우,KOSPI,,75200,1,3200,4.44,75700,78600,74600,54364,4179515950,1292033684800,17181299,STK
298020,KR7298020009,효성티앤씨,KOSPI,,291000,2,-2500,-0.85,293500,296000,289000,1467,430354000,1259355462000,4327682,STK
007310,KR7007310006,오뚜기,KOSPI,,313500,2,-500,-0.16,314000,316500,312500,442,138771500,1256454705000,4007830,STK
181710,KR7181710005,NHN,KOSPI,,38150,3,0,0.0,38400,39500,37900,9991,386309700,1249532252850,32753139,STK
012630,KR7012630000,HDC,KOSPI,,20550,2,-50,-0.24,20600,20800,20400,3762,77228100,1227692366550,59741721,STK
004000,KR7004000006,롯데정밀화학,KOSPI,,47250,2,-250,-0.53,46650,47550,46650,2345,110560150,1219050000000,25800000,STK
415640,KR7415640002,KB발해인프라,KOSPI,,9900,2,-110,-1.1,10100,10100,9900,1930,19170730,1213200925200,122545548,STK
030610,KR7030610000,교보증권,KOSPI,,10560,2,-190,-1.77,10630,10750,10550,2545,27016430,1203448868160,113962961,STK
082640,KR7082640004,동양생명,KOSPI,,7520,2,-190,-2.46,7510,7600,7490,2523,19011150,1173590609120,156062581,STK
051915,KR7051911006,LG화학우,KOSPI,,151500,2,-8500,-5.31,159800,159800,151500,3255,499386800,1164853200000,7688800,STK
003530,KR7003530003,한화투자증권,KOSPI,,5400,2,-190,-3.4,5500,5500,5400,98246,533704590,1158557985000,214547775,STK
