session_date,ticker,name,prev_close_price,market_cap,trading_value,trend_ok,source
2026-06-26,023530,롯데쇼핑,170600,4826061603000,20958545200,1,universe_startup
2026-06-26,001040,CJ,159400,4650813481200,16938988750,1,universe_startup
2026-06-26,002380,KCC,533000,4580013568000,41404890000,1,universe_startup
2026-06-26,175330,JB금융지주,23700,4461609940800,6640183350,1,universe_startup
2026-06-26,066970,엘앤에프,107800,4373224255400,64186899700,1,universe_startup
2026-06-26,069960,현대백화점,195500,4215940296000,28880965850,1,universe_startup
2026-06-26,082740,한화엔진,50200,4189046528400,27904704850,1,universe_startup
2026-06-26,052690,한전기술,106600,4074252000000,11989572000,1,universe_startup
2026-06-26,088350,한화생명,4690,4073405700000,19690396711,1,universe_startup
2026-06-26,010060,OCI홀딩스,211000,3939418952000,37811553500,1,universe_startup
2026-06-26,018880,한온시스템,3810,3910060323120,30909280781,1,universe_startup
2026-06-26,336260,두산퓨얼셀,57600,3772438617600,19982878850,1,universe_startup
2026-06-26,004020,현대제철,28150,3756498847750,14438715250,1,universe_startup
2026-06-26,012510,더존비즈온,120000,3494865960000,6109417500,1,universe_startup
2026-06-26,103590,일진전기,72700,3466727853000,19278637200,1,universe_startup
2026-06-26,051900,LG생활건강,224000,3354517152000,14530194000,1,universe_startup
2026-06-26,022100,포스코DX,21850,3321958828650,5576788450,1,universe_startup
2026-06-26,111770,영원무역,72700,3221443723600,4549553350,1,universe_startup
2026-06-26,450080,에코프로머티,45550,3220640398850,16266578250,1,universe_startup
2026-06-26,001450,현대해상,35950,3064674587500,13928717800,1,universe_startup
2026-06-26,085620,미래에셋생명,22550,3048309000000,31819277615,1,universe_startup
2026-06-26,009420,한올바이오파마,58300,3045629195400,57193785200,1,universe_startup
2026-06-26,035250,강원랜드,14160,3029397480000,6476705085,1,universe_startup
2026-06-26,036460,한국가스공사,32100,2963247300000,6229091400,1,universe_startup
2026-06-26,251270,넷마블,36000,2949644556000,8507083475,1,universe_startup
2026-06-26,011780,금호석유화학,116300,2925796897500,10499241800,1,universe_startup
2026-06-26,302440,SK바이오사이언스,37000,2902892461000,6569997250,1,universe_startup
2026-06-26,483650,달바글로벌,232000,2896442280000,77313457000,1,universe_startup
2026-06-26,011170,롯데케미칼,67400,2883063240600,10665461500,1,universe_startup
2026-06-26,004800,효성,171300,2867631719100,3664604500,1,universe_startup
2026-06-26,383220,F&F,74300,2846215672500,6153627550,1,universe_startup
2026-06-26,014680,한솔케미칼,257000,2830315043000,17797854250,1,universe_startup
2026-06-26,489790,한화비전,55900,2822301001000,21078330200,1,universe_startup
2026-06-26,017800,현대엘리베이터,70800,2767740858000,11571171250,1,universe_startup
2026-06-26,097950,CJ제일제당,179600,2703731805600,22417860800,1,universe_startup
2026-06-26,012750,에스원,71000,2697941638000,4582170900,1,universe_startup
2026-06-26,005850,에스엘,56400,2619696528000,8998011650,1,universe_startup
2026-06-26,139130,iM금융지주,15900,2553930869700,8804469670,1,universe_startup
2026-06-26,028670,팬오션,4705,2515149553960,9544151583,1,universe_startup
2026-06-26,279570,케이뱅크,6140,2490968227140,20497633295,1,universe_startup
2026-06-26,375500,DL이앤씨,61900,2395135263700,28448685500,1,universe_startup
2026-06-26,004990,롯데지주,23750,2367014680000,4704168100,1,universe_startup
2026-06-26,005440,현대지에프홀딩스,14840,2313619826840,12729203345,1,universe_startup
2026-06-26,204320,HL만도,48950,2298551024000,32318603725,1,universe_startup
2026-06-26,009155,삼성전기우,788000,2290703392000,103821706000,1,universe_startup
2026-06-26,007810,코리아써키트,95000,2278348900000,24863658150,1,universe_startup
2026-06-26,020150,롯데에너지머티리얼즈,43200,2262188001600,9004766875,1,universe_startup
2026-06-26,003690,코리안리,12670,2239055462770,5885690440,1,universe_startup
2026-06-26,139480,이마트,80600,2224223011400,8614493850,1,universe_startup
2026-06-26,009970,영원무역홀딩스,170000,2202148890000,3226980950,1,universe_startup
2026-06-26,001740,SK네트웍스,10800,2166414001200,232640973745,1,universe_startup
2026-06-26,007340,DN오토모티브,36700,2147348745500,7307000150,1,universe_startup
2026-06-26,457190,이수스페셜티케미컬,69400,2097189716800,11645099400,1,universe_startup
2026-06-26,081660,미스토홀딩스,39400,2091818496000,4756200050,1,universe_startup
2026-06-26,030000,제일기획,18100,2082246172500,6503231725,1,universe_startup
