week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2022-12-12,2022-12-12,2022-12-13,2022-12-15,383220,F&F,fallback,8,146029.2,138699.9945,stop_loss,2,1168233.6,175.24,166.44,1664.4,1107769.12,-60639.72,-5.1899
2022-12-19,2022-12-16,2022-12-19,2022-12-20,064350,현대로템,fallback,20,27455.49,28273.4989,take_profit,1,549109.8,82.37,84.82,848.2,564536.95,15344.79,2.7941
2022-12-19,2022-12-16,2022-12-19,2022-12-22,006650,대한유화,fallback,3,154530.9,159134.9936,take_profit,3,463592.7,69.54,71.61,716.11,476617.26,12955.02,2.7941
2022-12-19,2022-12-16,2022-12-19,2022-12-23,017800,현대엘리베이터,fallback,20,28455.69,28294.34,friday_liquidation,4,569113.8,85.37,84.88,848.83,564953.09,-4246.08,-0.746
2022-12-19,2022-12-16,2022-12-19,2022-12-21,022100,포스코DX,fallback,91,6301.26,6488.9997,take_profit,2,573414.66,86.01,88.57,885.75,589524.65,16023.98,2.7941
2022-12-19,2022-12-16,2022-12-19,2022-12-22,004020,현대제철,fallback,18,31506.3,32444.9987,take_profit,3,567113.4,85.07,87.6,876.01,583046.36,15847.89,2.7941
2022-12-19,2022-12-16,2022-12-19,2022-12-23,000210,DL,fallback,9,61512.3,61387.72,friday_liquidation,4,553610.7,83.04,82.87,828.73,551577.87,-2115.87,-0.3821
2022-12-19,2022-12-16,2022-12-19,2022-12-23,298050,HS효성첨단소재,fallback,1,358071.6,349930.0,friday_liquidation,4,358071.6,53.71,52.49,524.89,349352.62,-8772.7,-2.4496
2022-12-19,2022-12-16,2022-12-19,2022-12-23,375500,DL이앤씨,fallback,18,36557.31,36892.62,friday_liquidation,4,658031.58,98.7,99.61,996.1,662971.45,4841.16,0.7356
2022-12-19,2022-12-16,2022-12-19,2022-12-23,001440,대한전선,fallback,45,14672.934,13936.4994,stop_loss,4,660282.03,99.04,94.07,940.71,626107.69,-34273.38,-5.1899
2022-12-19,2022-12-16,2022-12-19,2022-12-20,003030,세아제강지주,fallback,4,151030.2,155529.9938,take_profit,1,604120.8,90.62,93.32,933.18,621093.48,16882.06,2.7941
2022-12-26,2022-12-23,2022-12-26,2022-12-26,003670,포스코퓨처엠,fallback,3,173056.6044,178212.6529,take_profit,0,519169.81,77.88,80.2,801.96,533755.81,14508.12,2.7941
2022-12-26,2022-12-23,2022-12-26,2022-12-29,035420,NAVER,fallback,3,178535.7,183854.9926,take_profit,3,535607.1,80.34,82.73,827.35,550654.9,14967.45,2.7941
2022-12-26,2022-12-23,2022-12-26,2022-12-28,034020,두산에너빌리티,fallback,38,15003.0,15449.9994,take_profit,2,570114.0,85.52,88.06,880.65,586131.26,15931.74,2.7941
2022-12-26,2022-12-23,2022-12-26,2022-12-29,323410,카카오뱅크,fallback,23,25305.06,24034.999,stop_loss,3,582016.38,87.3,82.92,829.21,551892.85,-30210.83,-5.1899
2022-12-26,2022-12-23,2022-12-26,2022-12-29,035720,카카오,fallback,10,53410.68,55001.9978,take_profit,3,534106.8,80.12,82.5,825.03,549112.45,14925.53,2.7941
2022-12-26,2022-12-23,2022-12-26,2022-12-27,064350,현대로템,fallback,21,27055.41,27861.4989,take_profit,1,568163.61,85.22,87.76,877.64,584126.08,15877.24,2.7941
2022-12-26,2022-12-23,2022-12-26,2022-12-27,377300,카카오페이,fallback,10,54710.94,56340.9977,take_profit,1,547109.4,82.07,84.51,845.11,562480.35,15288.88,2.7941
2022-12-26,2022-12-23,2022-12-26,2022-12-29,302440,SK바이오사이언스,fallback,7,78115.62,74194.997,stop_loss,3,546809.34,82.02,77.9,779.05,518508.03,-28383.33,-5.1899
2022-12-26,2022-12-23,2022-12-26,2022-12-29,096770,SK이노베이션,fallback,3,159430.8798,151429.0439,stop_loss,3,478292.64,71.74,68.14,681.43,453537.56,-24826.83,-5.1899
2022-12-26,2022-12-23,2022-12-26,2022-12-27,003030,세아제강지주,fallback,5,155031.0,159649.9936,take_profit,1,775155.0,116.27,119.74,1197.37,796932.86,21661.58,2.7941
2022-12-26,2022-12-26,2022-12-27,2022-12-27,034230,파라다이스,fallback,334,17153.43,17664.4993,take_profit,0,5729245.62,859.39,884.99,8849.91,5890207.86,160102.85,2.7941
2023-01-09,2023-01-06,2023-01-09,2023-01-10,138040,메리츠금융지주,fallback,77,38157.63,39294.4984,take_profit,1,2938137.51,440.72,453.85,4538.51,3020684.01,82105.78,2.7941
2023-01-09,2023-01-06,2023-01-09,2023-01-11,006040,동원산업,fallback,67,43927.7838,45236.5682,take_profit,2,2943161.51,441.47,454.63,4546.28,3025849.17,82246.18,2.7941
2023-01-16,2023-01-13,2023-01-16,2023-01-16,003230,삼양식품,fallback,50,117523.5,121024.9952,take_profit,0,5876175.0,881.43,907.69,9076.87,6041265.2,164208.77,2.7941
2023-01-16,2023-01-16,2023-01-17,2023-01-19,267260,HD현대일렉트릭,fallback,79,38957.79,37002.4985,stop_loss,2,3077665.41,461.65,438.48,4384.8,2918374.11,-159752.95,-5.1899
2023-01-16,2023-01-16,2023-01-17,2023-01-18,298040,효성중공업,fallback,43,72614.52,68969.9972,stop_loss,1,3122424.36,468.36,444.86,4448.56,2960816.46,-162076.26,-5.1899
2023-01-30,2023-01-27,2023-01-30,2023-02-03,006650,대한유화,fallback,17,169333.86,160834.9936,stop_loss,4,2878675.62,431.8,410.13,4101.29,2729683.47,-149423.95,-5.1899
2023-01-30,2023-01-27,2023-01-30,2023-02-02,282330,BGF리테일,fallback,16,184036.8,189519.9924,take_profit,3,2944588.8,441.69,454.85,4548.48,3027316.55,82286.06,2.7941
2023-01-30,2023-01-30,2023-01-31,2023-02-03,008770,호텔신라,fallback,24,80016.0,80183.96,friday_liquidation,3,1920384.0,288.06,288.66,2886.62,1921239.76,567.7,0.0296
2023-01-30,2023-01-30,2023-01-31,2023-02-02,011170,롯데케미칼,fallback,11,176535.3,181794.9927,take_profit,2,1941888.3,291.28,299.96,2999.62,1996445.34,54265.76,2.7941
2023-01-30,2023-01-30,2023-01-31,2023-02-02,088350,한화생명,fallback,726,2750.55,2612.4999,stop_loss,2,1996899.3,299.53,284.5,2845.01,1893545.41,-103653.42,-5.1899
2023-02-06,2023-02-03,2023-02-06,2023-02-10,011170,롯데케미칼,fallback,16,175035.0,174165.16,friday_liquidation,4,2800560.0,420.08,418.0,4179.96,2782044.6,-18935.48,-0.676
2023-02-06,2023-02-03,2023-02-06,2023-02-06,006650,대한유화,fallback,18,162232.44,167065.9933,take_profit,0,2920183.92,438.03,451.08,4510.78,3002226.02,81604.07,2.7941
2023-02-06,2023-02-06,2023-02-07,2023-02-08,377300,카카오페이,fallback,23,62812.56,64687.06,take_profit_gap_open,1,1444688.88,216.7,223.17,2231.7,1485347.51,40441.92,2.7989
2023-02-06,2023-02-06,2023-02-07,2023-02-10,034020,두산에너빌리티,fallback,92,15843.168,15646.87,friday_liquidation,3,1457571.46,218.64,215.93,2159.27,1437136.85,-20653.25,-1.4168
2023-02-06,2023-02-06,2023-02-07,2023-02-10,105560,KB금융,fallback,26,55811.16,55688.86,friday_liquidation,3,1451090.16,217.66,217.19,2171.87,1445521.31,-5786.52,-0.3987
2023-02-06,2023-02-06,2023-02-07,2023-02-10,047040,대우건설,fallback,328,4480.896,4514.097,friday_liquidation,3,1469733.89,220.46,222.09,2220.94,1478180.79,8226.44,0.5596
2023-02-13,2023-02-10,2023-02-13,2023-02-17,036570,NC,fallback,1,427085.4,405649.9838,stop_loss,4,427085.4,64.06,60.85,608.47,404980.66,-22168.8,-5.1899
2023-02-13,2023-02-10,2023-02-13,2023-02-15,323410,카카오뱅크,fallback,28,26605.32,25269.999,stop_loss,2,744948.96,111.74,106.13,1061.34,706392.5,-38668.2,-5.1899
2023-02-13,2023-02-10,2023-02-13,2023-02-14,018880,한온시스템,fallback,94,8153.6304,8396.5597,take_profit,1,766441.26,114.97,118.39,1183.91,787974.3,21418.08,2.7941
2023-02-13,2023-02-10,2023-02-13,2023-02-15,377300,카카오페이,fallback,12,60812.16,57759.9977,stop_loss,2,729745.92,109.46,103.97,1039.68,691976.32,-37879.06,-5.1899
2023-02-13,2023-02-10,2023-02-13,2023-02-17,009240,한샘,fallback,16,46809.36,46690.66,friday_liquidation,4,748949.76,112.34,112.06,1120.58,745817.93,-3244.18,-0.4331
