week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2021-12-27,2021-12-24,2021-12-27,2021-12-27,302440,SK바이오사이언스,fallback,48,235500.0,223725.0,stop_loss,0,11304000.0,1695.6,1610.82,16108.2,10721080.98,-584614.62,-5.171
2022-01-10,2022-01-07,2022-01-10,2022-01-14,017670,SK텔레콤,fallback,195,56000.0,56300.0,friday_liquidation,4,10920000.0,1638.0,1646.78,16467.75,10960385.47,38747.47,0.3548
2022-01-17,2022-01-14,2022-01-17,2022-01-18,300720,한일시멘트,fallback,175,21100.0,20045.0,stop_loss,1,3692500.0,553.88,526.18,5261.81,3502087.01,-190966.87,-5.171
2022-01-17,2022-01-14,2022-01-17,2022-01-21,021240,코웨이,fallback,50,73300.0,72000.0,friday_liquidation,4,3665000.0,549.75,540.0,5400.0,3594060.0,-71489.75,-1.9503
2022-01-17,2022-01-14,2022-01-17,2022-01-21,073240,금호타이어,fallback,855,4295.0,4215.0,friday_liquidation,4,3672225.0,550.83,540.57,5405.74,3597878.69,-74897.15,-2.0393
2022-01-24,2022-01-21,2022-01-24,2022-01-27,066570,LG전자,fallback,8,132000.0,125400.0,stop_loss,3,1056000.0,158.4,150.48,1504.8,1001544.72,-54613.68,-5.171
2022-01-24,2022-01-21,2022-01-24,2022-01-28,009150,삼성전기,fallback,6,179500.0,178000.0,friday_liquidation,4,1077000.0,161.55,160.2,1602.0,1066237.8,-10923.75,-1.0141
2022-01-24,2022-01-21,2022-01-24,2022-01-28,000660,SK하이닉스,fallback,10,116500.0,120500.0,friday_liquidation,4,1165000.0,174.75,180.75,1807.5,1203011.75,37837.0,3.2473
2022-01-24,2022-01-21,2022-01-24,2022-01-27,034220,LG디스플레이,fallback,60,20287.0,19272.65,stop_loss,3,1217220.0,182.58,173.45,1734.54,1154451.01,-62951.58,-5.171
2022-01-24,2022-01-21,2022-01-24,2022-01-26,093370,후성,fallback,57,21290.0,20225.5,stop_loss,2,1213530.0,182.03,172.93,1729.28,1150951.29,-62760.74,-5.171
2022-01-24,2022-01-21,2022-01-24,2022-01-25,079550,LIG디펜스앤에어로스페이스,fallback,19,62900.0,59755.0,stop_loss,1,1195100.0,179.26,170.3,1703.02,1133471.68,-61807.58,-5.171
2022-01-24,2022-01-21,2022-01-24,2022-01-25,082740,한화엔진,fallback,180,6949.0,6601.55,stop_loss,1,1250820.0,187.62,178.24,1782.42,1186318.34,-64689.28,-5.171
2022-01-24,2022-01-21,2022-01-24,2022-01-27,003230,삼양식품,fallback,14,88000.0,83600.0,stop_loss,3,1232000.0,184.8,175.56,1755.6,1168468.84,-63715.96,-5.171
2022-01-24,2022-01-21,2022-01-24,2022-01-24,383220,F&F,fallback,7,175000.0,166250.0,stop_loss,0,1225000.0,183.75,174.56,1745.62,1161829.81,-63353.94,-5.171
2022-02-03,2022-01-28,2022-02-03,2022-02-03,138040,메리츠금융지주,fallback,239,44450.0,46672.5,take_profit,0,10623550.0,1593.53,1673.21,16732.09,11136322.2,511178.67,4.811
2022-02-07,2022-02-04,2022-02-07,2022-02-09,007340,DN오토모티브,fallback,243,14921.0,14174.95,stop_loss,2,3625803.0,543.87,516.68,5166.77,3438829.4,-187517.47,-5.171
2022-02-07,2022-02-04,2022-02-07,2022-02-11,307950,현대오토에버,fallback,28,127000.0,120500.0,stop_loss_gap_open,4,3556000.0,533.4,506.1,5061.0,3368432.9,-188100.5,-5.2889
2022-02-07,2022-02-04,2022-02-07,2022-02-11,003240,태광산업,fallback,3,1041000.0,1093050.0,take_profit,4,3123000.0,468.45,491.87,4918.73,3273739.4,150270.95,4.811
2022-02-14,2022-02-11,2022-02-14,2022-02-18,051910,LG화학,fallback,1,632000.0,629000.0,friday_liquidation,4,632000.0,94.8,94.35,943.5,627962.15,-4132.65,-0.6538
2022-02-14,2022-02-11,2022-02-14,2022-02-15,111770,영원무역,fallback,24,45600.0,43320.0,stop_loss,1,1094400.0,164.16,155.95,1559.52,1037964.53,-56599.63,-5.171
2022-02-14,2022-02-11,2022-02-14,2022-02-14,007340,DN오토모티브,fallback,83,13178.0,12519.1,stop_loss,0,1093774.0,164.07,155.86,1558.63,1037370.81,-56567.26,-5.171
2022-02-14,2022-02-11,2022-02-14,2022-02-15,042700,한미반도체,fallback,63,17050.0,16197.5,stop_loss,1,1074150.0,161.12,153.07,1530.66,1018758.77,-55552.35,-5.171
2022-02-14,2022-02-11,2022-02-14,2022-02-18,079550,LIG디펜스앤에어로스페이스,fallback,18,60600.0,59700.0,friday_liquidation,4,1090800.0,163.62,161.19,1611.9,1072826.91,-18136.71,-1.6624
2022-02-14,2022-02-11,2022-02-14,2022-02-15,012450,한화에어로스페이스,fallback,23,48588.0,46158.6,stop_loss,1,1117524.0,167.63,159.25,1592.47,1059896.08,-57795.55,-5.171
2022-02-14,2022-02-11,2022-02-14,2022-02-18,006360,GS건설,fallback,28,39100.0,39900.0,friday_liquidation,4,1094800.0,164.22,167.58,1675.8,1115356.62,20392.4,1.8624
2022-02-14,2022-02-11,2022-02-14,2022-02-18,375500,DL이앤씨,fallback,19,56587.0,59416.35,take_profit,4,1075153.0,161.27,169.34,1693.37,1127047.95,51733.67,4.811
2022-02-14,2022-02-11,2022-02-14,2022-02-18,047050,포스코인터내셔널,fallback,58,19550.0,19950.0,friday_liquidation,4,1133900.0,170.09,173.56,1735.65,1155190.79,21120.7,1.8624
2022-02-14,2022-02-11,2022-02-14,2022-02-18,272210,한화시스템,fallback,77,15000.0,15150.0,friday_liquidation,4,1155000.0,173.25,174.98,1749.83,1164625.19,9451.94,0.8182
2022-02-28,2022-02-25,2022-02-28,2022-03-04,105560,KB금융,fallback,44,59400.0,57500.0,friday_liquidation,4,2613600.0,392.04,379.5,3795.0,2525825.5,-88166.54,-3.3729
2022-02-28,2022-02-25,2022-02-28,2022-03-04,055550,신한지주,fallback,67,38850.0,38200.0,friday_liquidation,4,2602950.0,390.44,383.91,3839.1,2555176.99,-48163.45,-1.8501
2022-02-28,2022-02-25,2022-02-28,2022-03-04,004370,농심,fallback,8,312000.0,309000.0,friday_liquidation,4,2496000.0,374.4,370.8,3708.0,2467921.2,-28453.2,-1.1398
2022-02-28,2022-02-25,2022-02-28,2022-02-28,008730,율촌화학,fallback,119,23550.0,24727.5,take_profit,0,2802450.0,420.37,441.39,4413.86,2937717.26,134846.89,4.811
2022-03-07,2022-03-04,2022-03-07,2022-03-07,003230,삼양식품,fallback,120,85800.0,81510.0,stop_loss,0,10296000.0,1544.4,1467.18,14671.8,9765061.02,-532483.38,-5.171
2022-03-14,2022-03-11,2022-03-14,2022-03-17,000660,SK하이닉스,fallback,85,115500.0,121275.0,take_profit,3,9817500.0,1472.62,1546.26,15462.56,10291366.18,472393.56,4.811
2022-03-21,2022-03-18,2022-03-21,2022-03-25,069960,현대백화점,fallback,69,75800.0,74600.0,friday_liquidation,4,5230200.0,784.53,772.11,7721.1,5138906.79,-92077.74,-1.7602
2022-03-21,2022-03-18,2022-03-21,2022-03-25,161890,한국콜마,fallback,123,42550.0,41950.0,friday_liquidation,4,5233650.0,785.05,773.98,7739.77,5151336.25,-83098.8,-1.5875
2022-03-28,2022-03-25,2022-03-28,2022-04-01,011200,HMM,fallback,85,30050.0,28547.5,stop_loss,4,2554250.0,383.14,363.98,3639.81,2422533.71,-132099.42,-5.171
2022-03-28,2022-03-25,2022-03-28,2022-04-01,028670,팬오션,fallback,379,6790.0,6710.0,friday_liquidation,4,2573410.0,386.01,381.46,3814.64,2538893.9,-34902.11,-1.3561
2022-03-28,2022-03-25,2022-03-28,2022-03-30,000150,두산,fallback,23,108500.0,103075.0,stop_loss,2,2495500.0,374.32,355.61,3556.09,2366813.3,-129061.02,-5.171
