trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-11,2026-06-11T11:34:02,0329097,161390,SELL,1,72100,72100,10.0,144.0,154.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,4,288700,72175.0,4,289600,900.0,242.0,0.3117,0.0838,CLOSED
2026-06-11,2026-06-11T11:37:24,0331932,120110,BUY,1,69200,69200,10.0,0.0,10.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,9,616400,68488.8889,8,550400,2488.8889,1218.8889,0.4543,0.2225,OPEN
2026-06-11,2026-06-11T11:37:24,0331941,120110,SELL,1,69500,69500,10.0,138.0,148.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,9,616400,68488.8889,9,619900,3500.0,2082.0,0.5678,0.3378,CLOSED
2026-06-11,2026-06-11T11:40:47,0335142,016380,BUY,9,5650,50850,0.0,0.0,0.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,43,240120,5584.186,34,189950,87.6744,-307.3256,0.0462,-0.1619,OPEN
2026-06-11,2026-06-11T11:40:48,0335150,016380,SELL,9,5670,51030,0.0,101.0,101.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,43,240120,5584.186,43,240980,860.0,364.0,0.3582,0.1516,CLOSED
2026-06-11,2026-06-11T11:48:00,0341294,010690,BUY,3,9880,29640,0.0,0.0,0.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,3,29640,9880.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T11:48:00,0341295,010690,SELL,3,9910,29730,0.0,56.0,56.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,3,29640,9880.0,3,29730,90.0,34.0,0.3036,0.1147,CLOSED
2026-06-11,2026-06-11T11:59:43,0350338,120110,BUY,2,69600,139200,20.0,0.0,20.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,11,755600,68690.9091,9,619900,1681.8182,243.8182,0.2720,0.0394,OPEN
2026-06-11,2026-06-11T11:59:44,0350344,120110,SELL,2,69900,139800,20.0,278.0,298.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,11,755600,68690.9091,11,759700,4100.0,2364.0,0.5426,0.3129,CLOSED
2026-06-11,2026-06-11T12:03:49,0353425,475150,BUY,4,41000,164000,20.0,0.0,20.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,4,164000,41000.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T12:03:52,0353448,475150,SELL,4,41150,164600,20.0,328.0,348.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,4,164000,41000.0,4,164600,600.0,232.0,0.3659,0.1415,CLOSED
2026-06-11,2026-06-11T12:08:00,0356603,161390,BUY,3,71300,213900,30.0,0.0,30.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,7,502600,71800.0,4,289600,2400.0,1712.0,0.8357,0.5961,OPEN
2026-06-11,2026-06-11T12:08:01,0356609,161390,SELL,3,71600,214800,30.0,429.0,459.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,7,502600,71800.0,7,504400,1800.0,653.0,0.3581,0.1299,CLOSED
2026-06-11,2026-06-11T12:12:06,0359628,003160,BUY,5,28100,140500,20.0,0.0,20.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,10,282250,28225.0,5,142500,1375.0,1031.0,0.9743,0.7306,OPEN
2026-06-11,2026-06-11T12:12:07,0359631,003160,SELL,5,28200,141000,10.0,281.0,291.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,10,282250,28225.0,10,283500,1250.0,615.0,0.4429,0.2179,CLOSED
2026-06-11,2026-06-11T12:12:58,0360228,181710,SELL,1,38200,38200,0.0,76.0,76.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,9,354950,39438.8889,9,355800,850.0,60.0,0.2395,0.0169,CLOSED
2026-06-11,2026-06-11T12:13:15.738384,0258026,181710,SELL,1,39850,39850,5.9775,71.73,77.70750000000001,sell_reconciliation,140593,1163293,1163293,611247,-110.72392518014804,9,354950,39438.8889,10,395650,40700.0,39832.2925,11.4664,11.2219,CLOSED
2026-06-11,2026-06-11T12:13:55,0360958,217590,SELL,9,22750,204750,30.0,409.0,439.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,25,616100,24644.0,25,605550,-10550.0,-11930.0,-1.7124,-1.9364,CLOSED
2026-06-11,2026-06-11T12:14:05.151395,0315100,217590,SELL,9,24250,218250,32.7375,392.85,425.58750000000003,sell_reconciliation,140593,1163293,1163293,611247,-110.72392518014804,25,616100,24644.0,34,823800,207700.0,205894.4125,33.7121,33.4190,CLOSED
2026-06-11,2026-06-11T12:17:55,0363825,181710,BUY,4,38225,152900,20.0,0.0,20.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,13,507850,39065.3846,10,395650,4996.1538,4108.4463,1.2789,1.0517,OPEN
2026-06-11,2026-06-11T12:17:55,0363830,181710,SELL,4,38400,153600,20.0,306.0,326.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,13,507850,39065.3846,14,549250,41400.0,40186.2925,8.1520,7.9130,CLOSED
2026-06-11,2026-06-11T12:29:13,0371457,010690,BUY,23,9900,227700,30.0,0.0,30.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,26,257340,9897.6923,3,29730,36.9231,-49.0769,0.1243,-0.1653,OPEN
2026-06-11,2026-06-11T12:29:14,0371462,010690,SELL,23,9930,228390,10.0,447.0,457.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,26,257340,9897.6923,26,258120,780.0,237.0,0.3031,0.0921,CLOSED
2026-06-11,2026-06-11T12:33:03,0374464,120110,BUY,3,71100,213300,30.0,0.0,30.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,14,968900,69207.1429,11,759700,-1578.5714,-3344.5714,-0.2074,-0.4393,OPEN
2026-06-11,2026-06-11T12:33:04,0374471,120110,SELL,3,71400,214200,30.0,428.0,458.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,14,968900,69207.1429,14,973900,5000.0,2776.0,0.5160,0.2865,CLOSED
2026-06-11,2026-06-11T12:40:32,0380545,181710,BUY,12,38525,462300,60.0,0.0,60.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,25,970150,38806.0,14,549250,5966.0,4692.2925,1.0981,0.8637,OPEN
2026-06-11,2026-06-11T12:40:32,0380563,181710,SELL,12,38800,465600,60.0,930.0,990.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,25,970150,38806.0,26,1014850,44700.0,42436.2925,4.6075,4.3742,CLOSED
2026-06-11,2026-06-11T12:44:16,0383717,092200,BUY,49,9430,462070,60.0,0.0,60.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,90,840500,9338.8889,41,380890,-2004.4444,-2913.4444,-0.5235,-0.7609,OPEN
2026-06-11,2026-06-11T12:44:44,0384060,092200,SELL,49,9480,464520,60.0,928.0,988.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,90,840500,9338.8889,90,845410,4910.0,3013.0,0.5842,0.3585,CLOSED
2026-06-11,2026-06-11T12:51:54,0389959,181710,BUY,12,38775,465300,60.0,0.0,60.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,37,1435450,38795.9459,26,1014850,6155.4054,3831.6979,0.6102,0.3799,OPEN
2026-06-11,2026-06-11T12:51:54,0389965,181710,SELL,12,39050,468600,70.0,936.0,1006.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,37,1435450,38795.9459,38,1483450,48000.0,44670.2925,3.3439,3.1119,CLOSED
2026-06-11,2026-06-11T12:58:24,0395121,000430,BUY,56,5000,280000,40.0,0.0,40.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,114,580860,5095.2632,108,550820,531.5789,-645.7361,0.0966,-0.1173,OPEN
2026-06-11,2026-06-11T12:58:24,0395128,000430,SELL,56,5020,281120,40.0,561.0,601.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,114,580860,5095.2632,164,831940,251080.0,249301.685,43.2256,42.9194,CLOSED
